
==============================================================================
USDJPY Signal Edge Scan — D1 fwd=5 — baseline LNG=54.6% / SHT=44.9% — bars=2987
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
C4    Close<EMA50                     SHT    4760   44.5    -0.4   -0.02  -0.59 
A4    RSI<35                          LNG    1205   53.8    -0.9   +0.02  -0.60 
A12   CCI<-100                        LNG    1257   53.8    -0.9   -0.01  -0.61 
C3    Close>EMA50                     LNG    6853   54.2    -0.4   +0.02  -0.73 
H2s   London open 07-09               SHT    1968   44.0    -1.0   -0.02  -0.90 
P1    Bullish engulfing               LNG     782   52.9    -1.7   +0.02  -0.95 
B2    Close<BB lower                  LNG     596   52.2    -2.5   -0.05  -1.20 
B7    z-score<-2 → long               LNG     596   52.2    -2.5   -0.05  -1.20 
A10   Williams%R<-80                  LNG    1895   53.1    -1.5   +0.00  -1.31 
C29   ADX<20 & RSI>70 (range OB)      SHT      61   36.1    -8.9   -0.18  -1.40 
C19   Aroon down>70 & up<30           SHT    2042   43.2    -1.7   -0.06  -1.56 
C11   Near 20d HIGH                   SHT    4599   43.8    -1.2   -0.03  -1.63 
D5s   Inside bar                      SHT    1603   42.8    -2.2   -0.03  -1.75 
D4    NR7                             LNG    1806   52.3    -2.4   -0.00  -2.02 *
C18   Aroon up>70 & down<30           LNG    3213   52.8    -1.9   +0.01  -2.14 *
D2    ATR>1.5x med (expanding)        LNG     414   49.0    -5.6   -0.03  -2.29 *
C28   ADX<20 & RSI<30 (range OS)      LNG      23   30.4   -24.2   -0.31  -2.33 * INSUFF
A5    RSI2<10 (Connors)               LNG    3146   52.5    -2.1   -0.01  -2.35 *
D6s   ATR pctile<0.2 (calm)           SHT    2958   42.6    -2.4   -0.05  -2.59 *
C26   ADX>25 & EMA20>50               LNG    3174   52.0    -2.6   -0.01  -2.96 **
------------------------------------------------------------------------------
* |t|>2.0 (p<.05)   ** |t|>2.6 (p<.01)   N<30 INSUFF
