
==============================================================================
EURJPY Signal Edge Scan — D1 fwd=5 — baseline LNG=55.6% / SHT=44.2% — bars=1159
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
C2    Close<EMA20                     SHT    2830   45.4    +0.1   -0.04   0.06 
C1    Close>EMA20                     LNG    4011   54.4    +0.0   +0.03   0.05 
C11r  Near 20d HIGH REV               LNG    2348   54.3    -0.1   +0.03  -0.08 
C18   Aroon up>70 & down<30           LNG    2047   54.0    -0.4   +0.03  -0.32 
C24   ROC10>0                         LNG    3843   54.1    -0.3   +0.03  -0.36 
C25   ROC10<0                         SHT    2975   45.0    -0.3   -0.04  -0.38 
B6    BB expanding (>20-med)          LNG    3327   54.0    -0.4   +0.03  -0.50 
H3s   NY open 13-15                   SHT     530   44.2    -1.2   -0.05  -0.56 
C12r  Near 20d LOW REV                SHT    1110   44.5    -0.8   -0.03  -0.57 
C19   Aroon down>70 & up<30           SHT    1062   44.4    -0.9   -0.06  -0.59 
C22   PSAR bull                       LNG    3841   53.8    -0.6   +0.03  -0.71 
H4o   NY/London overlap 12-16         LNG    1789   53.4    -0.9   +0.03  -0.80 
C23   PSAR bear                       SHT    3000   44.6    -0.8   -0.03  -0.86 
C13   MACD cross up                   LNG     283   50.9    -3.5   -0.02  -1.18 
C10   Donchian20 breakdown            SHT     303   41.9    -3.4   -0.10  -1.20 
A5    RSI2<10 (Connors)               LNG    1695   52.9    -1.5   +0.03  -1.26 
P1    Bullish engulfing               LNG     508   51.6    -2.8   +0.01  -1.27 
A6    RSI2>90 (Connors)               SHT     299   41.5    -3.9   -0.02  -1.35 
D4    NR7                             LNG     909   52.1    -2.2   +0.03  -1.36 
B1r   Close>BB upper REV              LNG     401   50.9    -3.5   -0.02  -1.41 
H2s   London open 07-09               SHT    1157   43.1    -2.2   -0.04  -1.52 
C29   ADX<20 & RSI>70 (range OB)      SHT      34   32.4   -13.0   -0.14  -1.52 
C5    Close>EMA200                    LNG    4850   53.3    -1.1   +0.01  -1.58 
C9    Donchian20 breakout UP          LNG     555   51.0    -3.4   -0.02  -1.61 
C20   Supertrend bull                 LNG    3777   53.0    -1.4   +0.02  -1.70 
B2r   Close<BB lower REV              SHT     329   40.4    -4.9   -0.10  -1.80 
C21   Supertrend bear                 SHT    3065   43.7    -1.6   -0.05  -1.82 
P4    Bearish pin                     SHT    1117   42.6    -2.7   -0.04  -1.84 
C3    Close>EMA50                     LNG    4198   52.9    -1.5   +0.01  -1.89 
C27   ADX>25 & EMA20<50               SHT    1316   42.6    -2.8   -0.08  -2.04 *
D5s   Inside bar                      SHT    1155   42.2    -3.2   -0.06  -2.18 *
C7    EMA20>EMA50                     LNG    4276   52.7    -1.7   +0.01  -2.23 *
D1s   ATR<20-med (compressed)         SHT    3508   43.4    -1.9   -0.05  -2.27 *
C4    Close<EMA50                     SHT    2643   43.1    -2.3   -0.07  -2.33 *
C6    Close<EMA200                    SHT    1991   42.6    -2.8   -0.10  -2.47 *
C8    EMA20<EMA50                     SHT    2565   42.6    -2.7   -0.07  -2.79 **
C26   ADX>25 & EMA20>50               LNG    1634   49.5    -4.9   -0.01  -3.96 **
D6s   ATR pctile<0.2 (calm)           SHT    1688   40.5    -4.8   -0.07  -3.99 **
------------------------------------------------------------------------------
* |t|>2.0 (p<.05)   ** |t|>2.6 (p<.01)   N<30 INSUFF

==============================================================================
EURJPY Signal Edge Scan — H1 fwd=4 — baseline LNG=53.1% / SHT=46.0% — bars=27396
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
------------------------------------------------------------------------------
A9    Williams%R>-20                  SHT    7348   48.4    +2.4   +0.00   4.21 **
A3    RSI>65                          SHT    3968   48.8    +2.9   +0.00   3.61 **
C12   Near 20d LOW                    LNG   12055   54.5    +1.4   +0.00   3.07 **
H4o   NY/London overlap 12-16         LNG    5759   55.1    +2.0   +0.01   3.02 **
B10   Close>Keltner high              SHT    4099   48.2    +2.2   -0.00   2.82 **
H2s   London open 07-09               SHT    3455   48.3    +2.3   +0.01   2.77 **
B9    Close<Keltner low               LNG    3084   55.5    +2.4   +0.01   2.62 **
A5    RSI2<10 (Connors)               LNG    7146   54.7    +1.5   +0.01   2.59 *
A7    Stoch K>80                      SHT    6746   47.5    +1.5   -0.00   2.48 *
A8    Stoch K<20                      LNG    3972   55.1    +2.0   +0.00   2.47 *
H3    NY open 13-15                   LNG    3457   55.0    +1.9   +0.01   2.26 *
A2    RSI<30                          LNG    1217   56.3    +3.2   +0.01   2.21 *
A11   CCI>+100                        SHT    3785   47.8    +1.8   -0.01   2.20 *
A12   CCI<-100                        LNG    3011   54.7    +1.6   +0.00   1.76 
A10   Williams%R<-80                  LNG    4609   54.4    +1.2   +0.00   1.66 
C11   Near 20d HIGH                   SHT   15546   46.6    +0.6   -0.01   1.52 
A4    RSI<35                          LNG    2676   54.5    +1.4   +0.01   1.41 
B5    BB squeeze (bw 20-low)          LNG    4290   54.2    +1.0   +0.01   1.37 
B2    Close<BB lower                  LNG    1494   54.7    +1.6   +0.01   1.21 
B7    z-score<-2 → long               LNG    1494   54.7    +1.6   +0.01   1.21 
D4s   NR7                             SHT    4674   46.8    +0.8   -0.00   1.16 
B11   TTM squeeze on                  LNG    3987   54.0    +0.9   +0.01   1.10 
D5    Inside bar                      LNG    3811   53.7    +0.6   +0.01   0.76 
D2    ATR>1.5x med (expanding)        LNG    1023   54.2    +1.0   +0.01   0.66 
C29   ADX<20 & RSI>70 (range OB)      SHT     136   48.5    +2.5   +0.01   0.59 
A1    RSI>70                          SHT    1944   46.7    +0.7   -0.00   0.59 
C22   PSAR bull                       LNG   14605   53.3    +0.2   +0.01   0.52 
P3    Bullish pin (tail≥2.5body)      LNG    4772   53.5    +0.3   +0.01   0.46 
C23   PSAR bear                       SHT   12786   46.2    +0.2   -0.00   0.44 
A6    RSI2>90 (Connors)               SHT     865   46.7    +0.7   -0.01   0.42 
B1    Close>BB upper                  SHT    1766   46.5    +0.5   -0.01   0.42 
B8    z-score>+2 → short              SHT    1766   46.5    +0.5   -0.01   0.42 
D1s   ATR<20-med (compressed)         SHT   14112   46.1    +0.2   -0.01   0.37 
D6s   ATR pctile<0.2 (calm)           SHT    6272   46.1    +0.1   -0.01   0.19 
C19   Aroon down>70 & up<30           SHT    4642   46.1    +0.1   -0.01   0.15 
D6    ATR pctile<0.2 (calm)           LNG    6272   53.2    +0.1   +0.01   0.15 
D1    ATR<20-med (compressed)         LNG   14112   53.1    -0.0   +0.01  -0.08 
C7    EMA20>EMA50                     LNG   15824   53.0    -0.1   +0.00  -0.29 
C8    EMA20<EMA50                     SHT   11567   45.8    -0.2   -0.01  -0.32 
B1r   Close>BB upper REV              LNG    1766   52.5    -0.6   +0.01  -0.49 
B6    BB expanding (>20-med)          LNG   13019   52.9    -0.2   +0.00  -0.52 
D5s   Inside bar                      SHT    3811   45.4    -0.6   -0.01  -0.77 
P1    Bullish engulfing               LNG    2027   52.1    -1.0   +0.00  -0.93 
B2r   Close<BB lower REV              SHT    1494   44.7    -1.3   -0.01  -0.99 
C10   Donchian20 breakdown            SHT    1274   44.6    -1.4   -0.01  -1.01 
P2    Bearish engulfing               SHT    1841   44.8    -1.2   -0.01  -1.06 
P4    Bearish pin                     SHT    4340   45.0    -0.9   -0.01  -1.24 
C28   ADX<20 & RSI<30 (range OS)      LNG      63   44.4    -8.7   -0.02  -1.38 
C26   ADX>25 & EMA20>50               LNG    6129   52.2    -1.0   +0.00  -1.52 
C14   MACD cross down                 SHT    1099   43.7    -2.3   -0.01  -1.54 
C18   Aroon up>70 & down<30           LNG    7170   52.2    -0.9   +0.00  -1.55 
C11r  Near 20d HIGH REV               LNG   15546   52.5    -0.6   +0.01  -1.61 
C27   ADX>25 & EMA20<50               SHT    5914   44.9    -1.1   -0.01  -1.64 
C13   MACD cross up                   LNG    1099   50.5    -2.6   -0.00  -1.75 
C24   ROC10>0                         LNG   14750   52.4    -0.7   +0.01  -1.79 
D4    NR7                             LNG    4674   51.8    -1.3   +0.00  -1.79 
C20   Supertrend bull                 LNG   14396   52.3    -0.8   +0.00  -1.98 
C25   ROC10<0                         SHT   12491   45.1    -0.9   -0.01  -2.00 
C21   Supertrend bear                 SHT   12996   45.1    -0.9   -0.01  -2.05 *
C3    Close>EMA50                     LNG   15811   52.3    -0.8   +0.00  -2.12 *
H2    London open 07-09               LNG    3455   51.2    -2.0   -0.01  -2.30 *
C4    Close<EMA50                     SHT   11580   44.9    -1.1   -0.01  -2.34 *
H3s   NY open 13-15                   SHT    3457   43.9    -2.0   -0.01  -2.42 *
C5    Close>EMA200                    LNG   16831   52.1    -1.0   +0.00  -2.58 *
C9    Donchian20 breakout UP          LNG    1947   50.2    -2.9   +0.00  -2.61 **
C1    Close>EMA20                     LNG   15334   51.9    -1.2   +0.00  -3.04 **
C12r  Near 20d LOW REV                SHT   12055   44.6    -1.4   -0.00  -3.05 **
C6    Close<EMA200                    SHT   10560   44.4    -1.5   -0.01  -3.19 **
C2    Close<EMA20                     SHT   12057   44.5    -1.5   -0.01  -3.32 **
------------------------------------------------------------------------------
* |t|>2.0 (p<.05)   ** |t|>2.6 (p<.01)   N<30 INSUFF
