
==============================================================================
EURGBP Signal Edge Scan — D1 fwd=5 — baseline LNG=49.0% / SHT=50.7% — bars=2987
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
P4    Bearish pin                     SHT    1871   51.7    +0.2   +0.00   0.16 
H2s   London open 07-09               SHT    1666   51.7    +0.2   -0.00   0.15 
H3s   NY open 13-15                   SHT     854   51.8    +0.2   -0.00   0.12 
P3    Bullish pin (tail≥2.5body)      LNG    1738   47.7    +0.1   +0.00   0.06 
C29   ADX<20 & RSI>70 (range OB)      SHT      28   50.0    -1.6   -0.11  -0.16  INSUFF
C13   MACD cross up                   LNG     369   47.2    -0.5   -0.00  -0.18 
H4o   NY/London overlap 12-16         LNG    2485   47.4    -0.2   +0.00  -0.19 
D5s   Inside bar                      SHT    1614   51.3    -0.3   -0.01  -0.20 
A6    RSI2>90 (Connors)               SHT     286   50.7    -0.9   +0.02  -0.29 
D6s   ATR pctile<0.2 (calm)           SHT    2538   51.2    -0.3   +0.01  -0.34 
H2    London open 07-09               LNG    1666   47.1    -0.5   +0.00  -0.42 
P2    Bearish engulfing               SHT     696   50.1    -1.4   -0.00  -0.75 
C23   PSAR bear                       SHT    5118   50.9    -0.6   -0.01  -0.88 
P1    Bullish engulfing               LNG     706   45.9    -1.7   -0.01  -0.92 
B5    BB squeeze (bw 20-low)          LNG    1569   46.5    -1.2   -0.01  -0.93 
C22   PSAR bull                       LNG    4715   46.9    -0.8   -0.00  -1.07 
C14   MACD cross down                 SHT     368   48.6    -2.9   -0.02  -1.12 
D4    NR7                             LNG    1266   46.1    -1.6   -0.01  -1.13 
B1r   Close>BB upper REV              LNG     536   44.8    -2.9   -0.02  -1.32 
D1    ATR<20-med (compressed)         LNG    5033   46.6    -1.0   -0.01  -1.45 
C9    Donchian20 breakout UP          LNG     477   44.0    -3.6   -0.01  -1.58 
C25   ROC10<0                         SHT    5089   50.3    -1.3   -0.01  -1.79 
C24   ROC10>0                         LNG    4681   46.3    -1.4   -0.01  -1.89 
C12r  Near 20d LOW REV                SHT    4295   49.8    -1.7   -0.01  -2.27 *
C11r  Near 20d HIGH REV               LNG    3419   45.7    -1.9   -0.01  -2.28 *
C27   ADX>25 & EMA20<50               SHT    2111   48.8    -2.8   -0.03  -2.54 *
B2r   Close<BB lower REV              SHT     471   45.2    -6.3   -0.03  -2.75 **
C10   Donchian20 breakdown            SHT     543   45.5    -6.1   -0.03  -2.83 **
C7    EMA20>EMA50                     LNG    4507   45.4    -2.2   -0.02  -3.00 **
C18   Aroon up>70 & down<30           LNG    1902   44.2    -3.5   -0.02  -3.03 **
C8    EMA20<EMA50                     SHT    5326   49.4    -2.1   -0.02  -3.09 **
C2    Close<EMA20                     SHT    5225   49.4    -2.2   -0.02  -3.15 **
C1    Close>EMA20                     LNG    4608   45.2    -2.4   -0.01  -3.24 **
C26   ADX>25 & EMA20>50               LNG    2021   43.9    -3.7   -0.00  -3.32 **
C6    Close<EMA200                    SHT    5420   49.3    -2.3   -0.02  -3.32 **
C5    Close>EMA200                    LNG    4413   45.1    -2.5   -0.02  -3.34 **
C21   Supertrend bear                 SHT    5388   49.1    -2.4   -0.02  -3.57 **
C19   Aroon down>70 & up<30           SHT    2402   47.8    -3.7   -0.04  -3.65 **
C4    Close<EMA50                     SHT    5310   49.0    -2.5   -0.02  -3.67 **
C3    Close>EMA50                     LNG    4523   44.8    -2.8   -0.02  -3.76 **
C20   Supertrend bull                 LNG    4446   44.8    -2.9   -0.02  -3.83 **
------------------------------------------------------------------------------
* |t|>2.0 (p<.05)   ** |t|>2.6 (p<.01)   N<30 INSUFF

==============================================================================
EURGBP Signal Edge Scan — H1 fwd=4 — baseline LNG=48.3% / SHT=49.4% — bars=39284
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
------------------------------------------------------------------------------
A10   Williams%R<-80                  LNG    8574   52.3    +4.1   +0.01   7.52 **
A5    RSI2<10 (Connors)               LNG   10876   51.9    +3.6   +0.01   7.47 **
A4    RSI<35                          LNG    4239   53.4    +5.1   +0.01   6.66 **
A8    Stoch K<20                      LNG    7485   52.1    +3.8   +0.01   6.53 **
A2    RSI<30                          LNG    1775   55.9    +7.7   +0.02   6.46 **
B9    Close<Keltner low               LNG    4201   53.0    +4.7   +0.01   6.11 **
A9    Williams%R>-20                  SHT    7403   52.4    +3.0   +0.00   5.17 **
A12   CCI<-100                        LNG    5049   51.2    +2.9   +0.01   4.13 **
D6s   ATR pctile<0.2 (calm)           SHT    8116   51.4    +2.1   +0.00   3.71 **
C11   Near 20d HIGH                   SHT   26486   50.5    +1.1   +0.00   3.67 **
A7    Stoch K>80                      SHT    6315   51.7    +2.3   +0.00   3.64 **
H2s   London open 07-09               SHT    4960   51.9    +2.5   +0.00   3.54 **
B1    Close>BB upper                  SHT    2460   52.9    +3.5   +0.01   3.52 **
B8    z-score>+2 → short              SHT    2460   52.9    +3.5   +0.01   3.52 **
A3    RSI>65                          SHT    4076   52.1    +2.7   +0.00   3.45 **
A11   CCI>+100                        SHT    4694   51.9    +2.5   -0.00   3.42 **
B10   Close>Keltner high              SHT    4071   52.0    +2.6   -0.00   3.38 **
B6    BB expanding (>20-med)          LNG   18868   49.4    +1.1   +0.00   3.03 **
H3s   NY open 13-15                   SHT    4939   51.5    +2.1   +0.00   2.99 **
B2    Close<BB lower                  LNG    2673   50.6    +2.3   +0.01   2.38 *
B7    z-score<-2 → long               LNG    2673   50.6    +2.3   +0.01   2.38 *
C28   ADX<20 & RSI<30 (range OS)      LNG     156   57.7    +9.4   +0.03   2.35 *
C12   Near 20d LOW                    LNG   27808   49.0    +0.7   +0.00   2.31 *
D1s   ATR<20-med (compressed)         SHT   19706   50.2    +0.8   +0.00   2.29 *
A6    RSI2>90 (Connors)               SHT     783   53.0    +3.6   +0.01   2.03 *
D5    Inside bar                      LNG    4709   49.4    +1.1   +0.00   1.56 
A1    RSI>70                          SHT    1980   50.8    +1.4   -0.01   1.27 
D4    NR7                             LNG    7789   48.9    +0.7   +0.00   1.17 
D2    ATR>1.5x med (expanding)        LNG    1494   49.3    +1.0   +0.01   0.76 
C29   ADX<20 & RSI>70 (range OB)      SHT     140   50.7    +1.3   -0.01   0.32 
P4    Bearish pin                     SHT    6766   48.9    -0.4   -0.00  -0.73 
C18   Aroon up>70 & down<30           LNG    7132   47.8    -0.5   -0.00  -0.81 
B11   TTM squeeze on                  LNG    9571   47.7    -0.5   +0.00  -1.03 
D1    ATR<20-med (compressed)         LNG   19706   47.9    -0.4   -0.00  -1.17 
D5s   Inside bar                      SHT    4709   48.3    -1.0   -0.00  -1.44 
C13   MACD cross up                   LNG    1615   46.4    -1.9   +0.00  -1.53 
B5    BB squeeze (bw 20-low)          LNG    5619   47.1    -1.2   -0.00  -1.81 
C14   MACD cross down                 SHT    1615   46.7    -2.6   -0.00  -2.12 *
B2r   Close<BB lower REV              SHT    2673   47.3    -2.1   -0.01  -2.20 *
P2    Bearish engulfing               SHT    2723   47.2    -2.2   -0.00  -2.32 *
C26   ADX>25 & EMA20>50               LNG    7841   46.9    -1.3   -0.00  -2.36 *
D4s   NR7                             SHT    7789   48.0    -1.4   -0.00  -2.39 *
H2    London open 07-09               LNG    4960   46.5    -1.7   -0.00  -2.46 *
P1    Bullish engulfing               LNG    2842   46.0    -2.3   -0.01  -2.48 *
H3    NY open 13-15                   LNG    4939   46.4    -1.9   -0.00  -2.63 **
P3    Bullish pin (tail≥2.5body)      LNG    6036   46.5    -1.8   -0.00  -2.73 **
B1r   Close>BB upper REV              LNG    2460   45.4    -2.8   -0.01  -2.81 **
D6    ATR pctile<0.2 (calm)           LNG    8116   46.7    -1.6   -0.00  -2.82 **
C12r  Near 20d LOW REV                SHT   27808   48.5    -0.9   -0.00  -2.90 **
C19   Aroon down>70 & up<30           SHT    8054   47.7    -1.7   -0.00  -3.08 **
C9    Donchian20 breakout UP          LNG    1957   44.7    -3.6   -0.01  -3.20 **
C22   PSAR bull                       LNG   19289   47.1    -1.2   -0.00  -3.26 **
C23   PSAR bear                       SHT   19990   48.2    -1.2   -0.00  -3.43 **
H4o   NY/London overlap 12-16         LNG    8232   46.3    -2.0   -0.00  -3.55 **
C11r  Near 20d HIGH REV               LNG   26486   47.2    -1.1   -0.00  -3.56 **
C10   Donchian20 breakdown            SHT    2170   45.3    -4.1   -0.01  -3.85 **
C6    Close<EMA200                    SHT   21212   48.0    -1.4   -0.00  -4.09 **
C7    EMA20>EMA50                     LNG   18578   46.7    -1.6   -0.00  -4.25 **
C5    Close>EMA200                    LNG   18067   46.7    -1.6   -0.00  -4.26 **
C8    EMA20<EMA50                     SHT   20701   47.9    -1.5   -0.00  -4.30 **
C24   ROC10>0                         LNG   18887   46.7    -1.6   -0.00  -4.34 **
C20   Supertrend bull                 LNG   18947   46.7    -1.6   -0.00  -4.48 **
C25   ROC10<0                         SHT   19849   47.8    -1.6   -0.00  -4.51 **
C21   Supertrend bear                 SHT   20333   47.7    -1.6   -0.00  -4.68 **
C27   ADX>25 & EMA20<50               SHT    8531   46.7    -2.7   -0.01  -5.02 **
C4    Close<EMA50                     SHT   20860   47.4    -1.9   -0.00  -5.58 **
C3    Close>EMA50                     LNG   18419   46.2    -2.1   -0.00  -5.71 **
C1    Close>EMA20                     LNG   18785   46.0    -2.2   -0.00  -6.16 **
C2    Close<EMA20                     SHT   20494   47.2    -2.2   -0.00  -6.32 **
------------------------------------------------------------------------------
* |t|>2.0 (p<.05)   ** |t|>2.6 (p<.01)   N<30 INSUFF
