
==============================================================================
NZDUSD Signal Edge Scan — D1 fwd=5 — baseline LNG=49.2% / SHT=50.4% — bars=2987
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
C13   MACD cross up                   LNG     390   48.7    -1.4   -0.01  -0.55 
B2r   Close<BB lower REV              SHT     532   48.1    -1.2   -0.01  -0.56 
D5    Inside bar                      LNG    1366   49.3    -0.9   -0.02  -0.63 
H3s   NY open 13-15                   SHT     855   48.0    -1.4   -0.01  -0.81 
C1    Close>EMA20                     LNG    4863   49.5    -0.6   -0.02  -0.82 
C2    Close<EMA20                     SHT    4968   48.7    -0.6   -0.01  -0.86 
C4    Close<EMA50                     SHT    5042   48.7    -0.6   -0.01  -0.89 
D6    ATR pctile<0.2 (calm)           LNG    2344   49.2    -0.9   -0.00  -0.90 
D1s   ATR<20-med (compressed)         SHT    5068   48.7    -0.7   -0.01  -0.97 
C3    Close>EMA50                     LNG    4789   49.4    -0.7   -0.02  -0.99 
P4    Bearish pin                     SHT    1589   48.1    -1.3   +0.00  -1.00 
C5    Close>EMA200                    LNG    4640   49.2    -0.9   -0.02  -1.22 
C6    Close<EMA200                    SHT    5191   48.5    -0.9   -0.01  -1.23 
C9    Donchian20 breakout UP          LNG     632   47.6    -2.5   -0.05  -1.25 
C21   Supertrend bear                 SHT    5003   48.4    -0.9   -0.01  -1.28 
B6    BB expanding (>20-med)          LNG    4775   49.2    -0.9   -0.03  -1.31 
C20   Supertrend bull                 LNG    4829   49.1    -1.0   -0.02  -1.36 
C10   Donchian20 breakdown            SHT     656   46.5    -2.8   -0.02  -1.46 
C23   PSAR bear                       SHT    4924   48.3    -1.0   -0.01  -1.47 
C22   PSAR bull                       LNG    4907   49.1    -1.0   -0.02  -1.47 
C24   ROC10>0                         LNG    4870   49.0    -1.1   -0.02  -1.55 
B1r   Close>BB upper REV              LNG     533   46.7    -3.4   -0.06  -1.57 
C25   ROC10<0                         SHT    4894   48.1    -1.2   -0.01  -1.71 
C12r  Near 20d LOW REV                SHT    2096   47.1    -2.2   -0.03  -2.06 *
C11r  Near 20d HIGH REV               LNG    2064   47.5    -2.6   -0.04  -2.40 *
S1s   Near big-figure                 SHT    2848   46.8    -2.5   -0.03  -2.67 **
------------------------------------------------------------------------------
* |t|>2.0 (p<.05)   ** |t|>2.6 (p<.01)   N<30 INSUFF
