
==============================================================================
USDCAD Signal Edge Scan — D1 fwd=5 — baseline LNG=50.6% / SHT=49.1% — bars=4288
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
C22   PSAR bull                       LNG    4989   50.6    -0.4   +0.00  -0.54 
C6    Close<EMA200                    SHT    4760   48.3    -0.4   -0.01  -0.56 
C29   ADX<20 & RSI>70 (range OB)      SHT      19   42.1    -6.6   +0.09  -0.57  INSUFF
C20   Supertrend bull                 LNG    5212   50.5    -0.4   -0.00  -0.60 
D5    Inside bar                      LNG    1483   50.1    -0.8   +0.00  -0.64 
B2    Close<BB lower                  LNG     502   49.4    -1.5   -0.00  -0.69 
B7    z-score<-2 → long               LNG     502   49.4    -1.5   -0.00  -0.69 
C21   Supertrend bear                 SHT    4571   48.2    -0.5   -0.01  -0.72 
P3    Bullish pin (tail≥2.5body)      LNG    1718   50.1    -0.9   +0.01  -0.73 
A12   CCI<-100                        LNG    1220   49.8    -1.1   +0.00  -0.77 
H3    NY open 13-15                   LNG     855   49.6    -1.3   -0.00  -0.79 
C13   MACD cross up                   LNG     401   48.9    -2.1   -0.00  -0.82 
C24   ROC10>0                         LNG    4996   50.3    -0.6   -0.01  -0.84 
C25   ROC10<0                         SHT    4749   48.1    -0.6   -0.01  -0.87 
P1    Bullish engulfing               LNG     720   49.3    -1.6   -0.02  -0.87 
C28   ADX<20 & RSI<30 (range OS)      LNG      39   43.6    -7.3   +0.00  -0.92 
P2    Bearish engulfing               SHT     750   46.8    -1.9   -0.00  -1.03 
C1    Close>EMA20                     LNG    4988   50.1    -0.8   -0.01  -1.12 
C2    Close<EMA20                     SHT    4794   47.9    -0.8   -0.02  -1.16 
C9    Donchian20 breakout UP          LNG     614   48.5    -2.4   -0.01  -1.19 
C11   Near 20d HIGH                   SHT    3397   47.6    -1.1   -0.01  -1.27 
B6    BB expanding (>20-med)          LNG    4724   49.9    -1.0   +0.01  -1.40 
B11   TTM squeeze on                  LNG    1398   48.3    -2.7   -0.01  -1.98 
D6    ATR pctile<0.2 (calm)           LNG    2450   48.7    -2.2   -0.01  -2.18 *
D2    ATR>1.5x med (expanding)        LNG     121   40.5   -10.4   -0.15  -2.30 *
C12r  Near 20d LOW REV                SHT    3365   46.3    -2.4   -0.02  -2.80 **
B1r   Close>BB upper REV              LNG     540   43.7    -7.2   -0.05  -3.36 **
------------------------------------------------------------------------------
* |t|>2.0 (p<.05)   ** |t|>2.6 (p<.01)   N<30 INSUFF

==============================================================================
USDCAD Signal Edge Scan — H1 fwd=4 — baseline LNG=49.2% / SHT=49.5% — bars=39230
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
------------------------------------------------------------------------------
A10   Williams%R<-80                  LNG    8735   51.0    +1.8   +0.01   3.45 **
A12   CCI<-100                        LNG    4651   51.5    +2.3   +0.01   3.10 **
A11   CCI>+100                        SHT    5043   51.7    +2.2   +0.00   3.08 **
H2    London open 07-09               LNG    4958   51.3    +2.1   +0.01   2.92 **
A5    RSI2<10 (Connors)               LNG   10948   50.6    +1.4   +0.00   2.89 **
D6    ATR pctile<0.2 (calm)           LNG    8400   50.6    +1.4   +0.00   2.60 **
A4    RSI<35                          LNG    4505   50.6    +1.4   +0.01   1.90 
B2    Close<BB lower                  LNG    2228   51.1    +1.9   +0.00   1.84 
B7    z-score<-2 → long               LNG    2228   51.1    +1.9   +0.00   1.84 
B9    Close<Keltner low               LNG    4622   50.5    +1.3   +0.01   1.74 
C12   Near 20d LOW                    LNG   25184   49.7    +0.5   +0.00   1.69 
A8    Stoch K<20                      LNG    7746   50.1    +0.9   +0.01   1.65 
D1    ATR<20-med (compressed)         LNG   20139   49.7    +0.6   +0.00   1.60 
B6    BB expanding (>20-med)          LNG   18868   49.7    +0.6   +0.00   1.55 
B11   TTM squeeze on                  LNG    7237   50.1    +0.9   +0.00   1.51 
B10   Close>Keltner high              SHT    4916   50.5    +1.0   +0.00   1.46 
A9    Williams%R>-20                  SHT    8509   50.3    +0.8   -0.00   1.44 
C13   MACD cross up                   LNG    1552   50.8    +1.7   -0.00   1.31 
S1s   Near big-figure                 SHT   11828   50.1    +0.6   -0.00   1.27 
C27   ADX>25 & EMA20<50               SHT    8219   50.2    +0.7   -0.00   1.23 
D2    ATR>1.5x med (expanding)        LNG    1515   50.4    +1.3   +0.00   0.98 
D5s   Inside bar                      SHT    4600   50.1    +0.6   -0.00   0.85 
P1    Bullish engulfing               LNG    2602   50.0    +0.8   +0.00   0.84 
H3s   NY open 13-15                   SHT    4930   50.1    +0.6   +0.00   0.84 
A7    Stoch K>80                      SHT    7545   49.9    +0.4   -0.00   0.72 
D4s   NR7                             SHT    6896   49.8    +0.3   +0.00   0.52 
C11r  Near 20d HIGH REV               LNG   24776   49.3    +0.2   +0.00   0.51 
B1    Close>BB upper                  SHT    2474   50.0    +0.5   -0.00   0.47 
B8    z-score>+2 → short              SHT    2474   50.0    +0.5   -0.00   0.47 
C28   ADX<20 & RSI<30 (range OS)      LNG     125   51.2    +2.0   -0.01   0.45 
C19   Aroon down>70 & up<30           SHT    7940   49.7    +0.2   -0.00   0.36 
C26   ADX>25 & EMA20>50               LNG    9224   49.3    +0.2   -0.00   0.31 
A3    RSI>65                          SHT    4644   49.6    +0.1   -0.00   0.14 
B5    BB squeeze (bw 20-low)          LNG    5755   49.3    +0.1   -0.00   0.13 
B1r   Close>BB upper REV              LNG    2474   49.2    +0.0   +0.00   0.01 
A6    RSI2>90 (Connors)               SHT     943   49.4    -0.1   -0.01  -0.04 
C18   Aroon up>70 & down<30           LNG    8072   49.0    -0.2   -0.00  -0.30 
A2    RSI<30                          LNG    2129   48.8    -0.4   -0.00  -0.35 
C6    Close<EMA200                    SHT   19412   49.4    -0.1   -0.00  -0.36 
C5    Close>EMA200                    LNG   19813   49.0    -0.1   -0.00  -0.36 
H3    NY open 13-15                   LNG    4930   48.9    -0.3   -0.00  -0.38 
C11   Near 20d HIGH                   SHT   24776   49.3    -0.2   -0.00  -0.50 
C9    Donchian20 breakout UP          LNG    2361   48.6    -0.6   -0.00  -0.54 
C8    EMA20<EMA50                     SHT   19310   49.3    -0.2   -0.00  -0.54 
C7    EMA20>EMA50                     LNG   19915   49.0    -0.2   -0.00  -0.57 
A1    RSI>70                          SHT    2181   48.8    -0.7   -0.00  -0.61 
P4    Bearish pin                     SHT    6192   49.0    -0.5   -0.00  -0.74 
P3    Bullish pin (tail≥2.5body)      LNG    6893   48.7    -0.4   -0.00  -0.74 
D5    Inside bar                      LNG    4600   48.5    -0.7   +0.00  -0.92 
C4    Close<EMA50                     SHT   19519   49.1    -0.3   -0.00  -0.96 
C3    Close>EMA50                     LNG   19706   48.8    -0.3   -0.00  -0.98 
C24   ROC10>0                         LNG   19507   48.8    -0.4   -0.00  -0.99 
C25   ROC10<0                         SHT   19424   49.1    -0.4   -0.00  -1.02 
H4o   NY/London overlap 12-16         LNG    8220   48.5    -0.7   -0.00  -1.26 
C29   ADX<20 & RSI>70 (range OB)      SHT     126   43.7    -5.8   -0.03  -1.31 
D4    NR7                             LNG    6896   48.4    -0.8   -0.00  -1.33 
S1    Near big-figure (x.xx00)        LNG   11828   48.5    -0.7   +0.00  -1.45 
C23   PSAR bear                       SHT   19935   49.0    -0.5   -0.00  -1.46 
C20   Supertrend bull                 LNG   20389   48.7    -0.5   -0.00  -1.47 
C22   PSAR bull                       LNG   19290   48.6    -0.5   -0.00  -1.47 
C1    Close>EMA20                     LNG   19641   48.6    -0.5   -0.00  -1.50 
C2    Close<EMA20                     SHT   19584   48.9    -0.6   -0.00  -1.63 
B2r   Close<BB lower REV              SHT    2228   47.8    -1.7   -0.00  -1.63 
C21   Supertrend bear                 SHT   18837   48.9    -0.6   -0.00  -1.64 
C14   MACD cross down                 SHT    1553   47.4    -2.1   -0.01  -1.65 
D1s   ATR<20-med (compressed)         SHT   20139   48.9    -0.6   -0.00  -1.66 
C12r  Near 20d LOW REV                SHT   25184   48.9    -0.6   -0.00  -1.89 
H2s   London open 07-09               SHT    4958   47.6    -1.8   -0.01  -2.60 *
C10   Donchian20 breakdown            SHT    2243   46.5    -3.0   -0.01  -2.83 **
D6s   ATR pctile<0.2 (calm)           SHT    8400   47.9    -1.6   -0.00  -2.85 **
P2    Bearish engulfing               SHT    2816   45.9    -3.6   -0.01  -3.83 **
------------------------------------------------------------------------------
* |t|>2.0 (p<.05)   ** |t|>2.6 (p<.01)   N<30 INSUFF
