
==============================================================================
AUDUSD Signal Edge Scan — D1 fwd=5 — baseline LNG=50.3% / SHT=49.5% — bars=2987
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
P2    Bearish engulfing               SHT     690   47.2    -1.0   -0.02  -0.50 
C8    EMA20<EMA50                     SHT    4793   47.8    -0.4   -0.01  -0.53 
H2s   London open 07-09               SHT    1667   47.4    -0.8   -0.01  -0.66 
C6    Close<EMA200                    SHT    4694   47.7    -0.5   -0.01  -0.72 
D4s   NR7                             SHT    1327   47.1    -1.1   -0.01  -0.80 
C27   ADX>25 & EMA20<50               SHT    2141   47.3    -0.9   -0.01  -0.82 
S1s   Near big-figure                 SHT    3024   47.5    -0.7   -0.00  -0.82 
C22   PSAR bull                       LNG    4990   50.7    -0.7   -0.01  -0.95 
C14   MACD cross down                 SHT     407   45.7    -2.5   -0.03  -1.01 
C23   PSAR bear                       SHT    4839   47.5    -0.7   -0.02  -1.02 
C9    Donchian20 breakout UP          LNG     634   49.2    -2.1   -0.06  -1.08 
H3s   NY open 13-15                   SHT     855   46.3    -1.9   -0.02  -1.10 
C10   Donchian20 breakdown            SHT     554   45.5    -2.7   -0.06  -1.28 
C20   Supertrend bull                 LNG    4813   50.4    -0.9   -0.01  -1.29 
C21   Supertrend bear                 SHT    5017   47.3    -0.9   -0.02  -1.30 
D1s   ATR<20-med (compressed)         SHT    5125   47.2    -1.0   -0.02  -1.38 
C24   ROC10>0                         LNG    4942   50.0    -1.4   -0.01  -1.90 
C25   ROC10<0                         SHT    4846   46.7    -1.5   -0.02  -2.03 *
C1    Close>EMA20                     LNG    5029   49.9    -1.4   -0.02  -2.05 *
C2    Close<EMA20                     SHT    4800   46.7    -1.5   -0.03  -2.13 *
C12r  Near 20d LOW REV                SHT    1908   45.6    -2.6   -0.02  -2.27 *
C3    Close>EMA50                     LNG    4997   49.7    -1.7   -0.02  -2.38 *
C4    Close<EMA50                     SHT    4832   46.4    -1.8   -0.03  -2.48 *
B2r   Close<BB lower REV              SHT     502   42.6    -5.6   -0.07  -2.50 *
C11r  Near 20d HIGH REV               LNG    2287   48.6    -2.7   -0.04  -2.61 **
------------------------------------------------------------------------------
* |t|>2.0 (p<.05)   ** |t|>2.6 (p<.01)   N<30 INSUFF
