strategy,entry_time,exit_time,direction,entry,exit,size,risk_dist,pnl,r_mult,reason
London breakout,2024-01-23 09:00:00,2024-01-23 23:00:00,SHORT,2022.3,2024.4,98.6454,15.51,-257.17,-0.14,eod
London breakout,2024-01-24 08:00:00,2024-01-24 10:00:00,LONG,2034.18,2022.72,133.2395,11.46,-1593.54,-1.0,stop
London breakout,2024-01-24 11:00:00,2024-01-24 23:00:00,SHORT,2022.72,2015.66,131.7909,11.46,864.55,0.62,eod
London breakout,2024-01-25 08:00:00,2024-01-25 08:00:00,LONG,2019.44,2012.56,220.3643,6.89,-1628.49,-1.0,stop
London breakout,2024-01-25 09:00:00,2024-01-25 12:00:00,LONG,2019.44,2012.56,217.8408,6.89,-1609.84,-1.0,stop
London breakout,2024-01-29 08:00:00,2024-01-29 09:00:00,LONG,2033.8,2024.62,161.8032,9.17,-1564.64,-1.0,stop
London breakout,2024-01-29 10:00:00,2024-01-29 15:00:00,SHORT,2024.62,2033.8,160.0087,9.17,-1547.28,-1.0,stop
London breakout,2024-01-30 09:00:00,2024-01-30 10:00:00,LONG,2040.28,2031.3,161.4562,8.99,-1531.74,-1.0,stop
London breakout,2024-01-31 08:00:00,2024-01-31 09:00:00,LONG,2040.3,2054.58,200.9639,7.14,2769.28,2.0,tp
London breakout,2024-01-31 10:00:00,2024-01-31 10:00:00,LONG,2040.3,2054.58,204.7018,7.14,2820.79,2.0,tp
London breakout,2024-01-31 11:00:00,2024-01-31 14:00:00,LONG,2040.3,2040.3,208.5091,7.14,-104.25,0.0,stop
London breakout,2024-02-01 09:00:00,2024-02-01 23:00:00,LONG,2046.22,2054.96,91.1508,16.31,751.99,0.54,eod
London breakout,2024-02-05 08:00:00,2024-02-05 23:00:00,SHORT,2020.56,2026.24,130.9145,11.41,-810.36,-0.5,eod
London breakout,2024-02-06 08:00:00,2024-02-06 10:00:00,LONG,2029.72,2029.72,214.5919,6.92,-107.3,0.0,stop
London breakout,2024-02-06 11:00:00,2024-02-06 23:00:00,LONG,2029.72,2035.14,214.2818,6.92,1056.41,0.78,eod
London breakout,2024-02-07 08:00:00,2024-02-07 09:00:00,LONG,2036.08,2036.08,301.6622,4.95,-150.83,0.0,stop
London breakout,2024-02-07 10:00:00,2024-02-07 10:00:00,LONG,2036.08,2036.08,301.0524,4.95,-150.53,0.0,stop
London breakout,2024-02-07 11:00:00,2024-02-07 23:00:00,LONG,2036.08,2032.12,300.4438,4.95,-1339.98,-0.8,eod
London breakout,2024-02-08 08:00:00,2024-02-08 23:00:00,SHORT,2027.78,2032.66,139.2047,10.57,-747.53,-0.46,eod
London breakout,2024-02-12 08:00:00,2024-02-12 08:00:00,LONG,2027.16,2019.92,202.0188,7.24,-1564.23,-1.0,stop
London breakout,2024-02-12 09:00:00,2024-02-12 12:00:00,SHORT,2019.92,2019.92,199.7197,7.24,-99.86,-0.0,stop
London breakout,2024-02-13 08:00:00,2024-02-13 08:00:00,LONG,2029.26,2018.9,139.5722,10.35,-1514.36,-1.0,stop
London breakout,2024-02-13 09:00:00,2024-02-13 09:00:00,SHORT,2018.9,1998.2,138.0417,10.35,2788.44,2.0,tp
London breakout,2024-02-13 10:00:00,2024-02-13 10:00:00,SHORT,2018.9,1998.2,140.6691,10.35,2841.52,2.0,tp
London breakout,2024-02-13 11:00:00,2024-02-13 11:00:00,SHORT,2018.9,1998.2,143.3466,10.35,2895.6,2.0,tp
London breakout,2024-02-14 10:00:00,2024-02-14 11:00:00,SHORT,1985.94,1993.32,205.1393,7.37,-1614.45,-1.0,stop
London breakout,2024-02-15 08:00:00,2024-02-15 23:00:00,LONG,1998.04,2003.56,228.1994,6.55,1143.28,0.84,eod
London breakout,2024-02-19 08:00:00,2024-02-19 12:00:00,SHORT,2018.12,2018.12,314.8532,4.78,-157.43,-0.0,stop
London breakout,2024-02-20 08:00:00,2024-02-20 23:00:00,LONG,2027.54,2030.76,151.702,9.9,414.15,0.33,eod
London breakout,2024-02-21 10:00:00,2024-02-21 23:00:00,SHORT,2025.84,2028.74,237.0445,6.35,-805.95,-0.46,eod
London breakout,2024-02-22 08:00:00,2024-02-22 21:00:00,SHORT,2027.16,2027.16,198.0654,7.55,-99.03,-0.0,stop
London breakout,2024-02-26 09:00:00,2024-02-26 23:00:00,SHORT,2030.74,2033.68,240.1941,6.22,-823.87,-0.47,eod
London breakout,2024-02-27 11:00:00,2024-02-27 23:00:00,SHORT,2032.74,2030.12,223.9167,6.63,476.27,0.4,eod
London breakout,2024-02-28 08:00:00,2024-02-28 23:00:00,LONG,2031.96,2035.05,195.5599,7.61,505.13,0.41,eod
London breakout,2024-02-29 08:00:00,2024-02-29 08:00:00,LONG,2037.74,2037.74,166.1786,8.98,-83.09,0.0,stop
London breakout,2024-02-29 09:00:00,2024-02-29 23:00:00,LONG,2037.74,2045.42,165.9936,8.98,1193.49,0.86,eod
London breakout,2024-03-04 08:00:00,2024-03-04 10:00:00,LONG,2088.2,2103.8,192.5291,7.8,2907.19,2.0,tp
London breakout,2024-03-04 11:00:00,2024-03-04 11:00:00,LONG,2088.2,2103.8,196.1329,7.8,2961.61,2.0,tp
London breakout,2024-03-05 08:00:00,2024-03-05 08:00:00,LONG,2127.24,2127.24,116.3907,13.39,-58.2,0.0,stop
London breakout,2024-03-05 09:00:00,2024-03-05 23:00:00,LONG,2127.24,2126.11,116.3038,13.39,-188.41,-0.08,eod
London breakout,2024-03-06 08:00:00,2024-03-06 09:00:00,LONG,2132.5,2149.0,188.4657,8.25,3015.45,2.0,tp
London breakout,2024-03-06 10:00:00,2024-03-06 10:00:00,LONG,2132.5,2132.5,192.0066,8.25,-96.0,0.0,stop
London breakout,2024-03-06 11:00:00,2024-03-06 11:00:00,LONG,2132.5,2149.0,191.7739,8.25,3068.38,2.0,tp
London breakout,2024-03-07 08:00:00,2024-03-07 09:00:00,LONG,2159.74,2151.44,194.1999,8.3,-1708.96,-1.0,stop
London breakout,2024-03-07 11:00:00,2024-03-07 14:00:00,SHORT,2151.44,2159.74,192.024,8.3,-1689.81,-1.0,stop
London breakout,2024-03-11 08:00:00,2024-03-11 08:00:00,LONG,2182.96,2175.78,219.7045,7.17,-1685.79,-1.0,stop
London breakout,2024-03-11 09:00:00,2024-03-11 09:00:00,LONG,2182.96,2175.78,217.2012,7.17,-1666.58,-1.0,stop
London breakout,2024-03-11 10:00:00,2024-03-11 23:00:00,LONG,2182.96,2178.08,214.7264,7.17,-1153.72,-0.68,eod
London breakout,2024-03-12 08:00:00,2024-03-12 09:00:00,SHORT,2170.52,2153.4,178.4605,8.56,2966.01,2.0,tp
London breakout,2024-03-12 10:00:00,2024-03-12 13:00:00,SHORT,2170.52,2153.4,181.8212,8.56,3021.87,2.0,tp
London breakout,2024-03-13 08:00:00,2024-03-13 08:00:00,LONG,2164.06,2164.06,237.736,6.67,-118.87,0.0,stop
London breakout,2024-03-13 09:00:00,2024-03-13 12:00:00,LONG,2164.06,2177.41,237.3795,6.67,3047.95,2.0,tp
London breakout,2024-03-14 08:00:00,2024-03-14 08:00:00,SHORT,2167.06,2167.06,331.1323,4.87,-165.57,-0.0,stop
London breakout,2024-03-14 09:00:00,2024-03-14 10:00:00,SHORT,2167.06,2157.33,330.4523,4.87,3053.38,2.0,tp
London breakout,2024-03-14 11:00:00,2024-03-14 11:00:00,SHORT,2167.06,2157.33,336.3828,4.87,3108.18,2.0,tp
London breakout,2024-03-20 08:00:00,2024-03-20 09:00:00,SHORT,2152.22,2159.38,232.8053,7.16,-1783.99,-1.0,stop
London breakout,2024-03-21 08:00:00,2024-03-21 10:00:00,SHORT,2196.74,2166.84,110.2729,14.95,3242.02,2.0,tp
London breakout,2024-03-21 11:00:00,2024-03-21 23:00:00,SHORT,2196.74,2173.5,112.4046,14.95,2554.96,1.55,eod
London breakout,2024-03-25 08:00:00,2024-03-25 14:00:00,LONG,2171.78,2171.78,204.9804,8.32,-102.49,0.0,stop
London breakout,2024-04-01 08:00:00,2024-04-01 23:00:00,SHORT,2245.44,2251.48,84.5353,20.15,-553.71,-0.3,eod
London breakout,2024-04-02 10:00:00,2024-04-02 23:00:00,LONG,2266.7,2284.98,103.5017,16.4,1841.29,1.12,eod
London breakout,2024-04-03 08:00:00,2024-04-03 11:00:00,SHORT,2267.56,2286.9,88.693,19.34,-1759.67,-1.0,stop
London breakout,2024-04-04 08:00:00,2024-04-04 14:00:00,SHORT,2290.66,2300.56,171.564,9.89,-1783.06,-1.0,stop
London breakout,2024-04-08 08:00:00,2024-04-08 21:00:00,SHORT,2331.7,2345.5,121.6372,13.8,-1739.41,-1.0,stop
London breakout,2024-04-09 11:00:00,2024-04-09 23:00:00,SHORT,2342.95,2351.22,74.677,22.24,-655.44,-0.37,eod
London breakout,2024-04-10 08:00:00,2024-04-10 08:00:00,SHORT,2344.82,2344.82,108.437,15.25,-54.22,-0.0,stop
London breakout,2024-04-10 09:00:00,2024-04-10 10:00:00,SHORT,2344.82,2344.82,108.3659,15.25,-54.18,-0.0,stop
London breakout,2024-04-10 11:00:00,2024-04-10 13:00:00,SHORT,2344.82,2344.82,108.2948,15.25,-54.15,-0.0,stop
London breakout,2024-04-11 09:00:00,2024-04-11 21:00:00,LONG,2346.0,2386.7,81.1014,20.35,3260.28,2.0,tp
London breakout,2024-04-15 09:00:00,2024-04-15 10:00:00,SHORT,2344.61,2344.61,94.9554,17.72,-47.48,-0.0,stop
London breakout,2024-04-15 11:00:00,2024-04-15 13:00:00,SHORT,2344.61,2362.34,94.9018,17.72,-1729.11,-1.0,stop
London breakout,2024-04-16 11:00:00,2024-04-16 23:00:00,LONG,2388.94,2381.6,63.7728,26.09,-499.34,-0.28,eod
London breakout,2024-04-17 09:00:00,2024-04-17 12:00:00,LONG,2394.16,2372.57,76.8218,21.59,-1696.99,-1.0,stop
London breakout,2024-04-18 08:00:00,2024-04-18 10:00:00,LONG,2383.89,2373.15,152.8573,10.74,-1717.66,-1.0,stop
London breakout,2024-04-18 11:00:00,2024-04-18 21:00:00,LONG,2383.89,2383.89,151.1863,10.74,-75.59,0.0,stop
London breakout,2024-04-22 08:00:00,2024-04-22 21:00:00,SHORT,2351.26,2308.18,75.2914,21.54,3205.91,2.0,tp
London breakout,2024-04-23 09:00:00,2024-04-23 23:00:00,LONG,2314.6,2327.82,70.8423,23.34,900.41,0.57,eod
London breakout,2024-04-24 11:00:00,2024-04-24 23:00:00,LONG,2331.22,2311.64,84.8881,19.58,-1704.55,-1.0,stop
London breakout,2024-04-25 08:00:00,2024-04-25 23:00:00,LONG,2328.72,2334.56,99.978,16.45,533.88,0.36,eod
London breakout,2024-04-29 09:00:00,2024-04-29 12:00:00,SHORT,2327.26,2344.28,96.8572,17.03,-1697.91,-1.0,stop
London breakout,2024-04-30 08:00:00,2024-04-30 23:00:00,SHORT,2310.54,2284.07,86.6249,18.84,2249.65,1.4,eod
London breakout,2024-05-01 08:00:00,2024-05-01 14:00:00,LONG,2294.22,2319.62,130.2423,12.7,3243.03,2.0,tp
London breakout,2024-05-02 08:00:00,2024-05-02 23:00:00,SHORT,2295.06,2302.34,65.318,25.81,-508.17,-0.28,eod
London breakout,2024-05-06 08:00:00,2024-05-06 23:00:00,LONG,2324.04,2324.78,104.8315,16.03,24.11,0.05,eod
London breakout,2024-05-07 08:00:00,2024-05-07 23:00:00,SHORT,2311.61,2316.93,126.1669,13.32,-733.91,-0.4,eod
London breakout,2024-05-09 08:00:00,2024-05-09 16:00:00,LONG,2319.64,2345.68,128.4032,13.02,3280.19,2.0,tp
London breakout,2024-05-13 11:00:00,2024-05-13 23:00:00,SHORT,2339.02,2343.01,95.1622,17.91,-427.56,-0.22,eod
London breakout,2024-05-14 08:00:00,2024-05-14 23:00:00,LONG,2348.11,2360.24,140.1966,12.12,1630.49,1.0,eod
London breakout,2024-05-15 08:00:00,2024-05-15 09:00:00,LONG,2374.18,2355.57,92.2155,18.6,-1761.32,-1.0,stop
London breakout,2024-05-15 10:00:00,2024-05-15 11:00:00,SHORT,2355.57,2374.18,91.2437,18.6,-1742.76,-1.0,stop
