
==============================================================================
USDCHF Signal Edge Scan — D1 fwd=5 — baseline LNG=51.5% / SHT=48.5% — bars=1157
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
B2    Close<BB lower                  LNG     383   48.8    -3.1   -0.06  -1.23 
B7    z-score<-2 → long               LNG     383   48.8    -3.1   -0.06  -1.23 
C1    Close>EMA20                     LNG    3508   50.9    -1.1   -0.02  -1.26 
C2    Close<EMA20                     SHT    3314   46.3    -1.1   +0.00  -1.28 
D6s   ATR pctile<0.2 (calm)           SHT    1648   45.6    -1.8   -0.01  -1.48 
C13   MACD cross up                   LNG     274   47.4    -4.5   -0.04  -1.50 
P4    Bearish pin                     SHT    1172   45.2    -2.2   -0.00  -1.53 
B5    BB squeeze (bw 20-low)          LNG    1062   49.5    -2.4   -0.02  -1.59 
C9    Donchian20 breakout UP          LNG     395   47.8    -4.1   -0.04  -1.64 
B1r   Close>BB upper REV              LNG     344   46.8    -5.2   -0.05  -1.92 
S1s   Near big-figure                 SHT    1886   45.2    -2.2   -0.01  -1.94 
C27   ADX>25 & EMA20<50               SHT    1678   43.7    -3.7   -0.00  -3.05 **
------------------------------------------------------------------------------
* |t|>2.0 (p<.05)   ** |t|>2.6 (p<.01)   N<30 INSUFF

==============================================================================
USDCHF Signal Edge Scan — H1 fwd=4 — baseline LNG=49.3% / SHT=48.9% — bars=27361
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
------------------------------------------------------------------------------
A9    Williams%R>-20                  SHT    6067   52.5    +3.5   +0.01   5.48 **
A3    RSI>65                          SHT    3144   53.0    +4.1   +0.01   4.57 **
B10   Close>Keltner high              SHT    3313   52.9    +4.0   +0.01   4.57 **
A7    Stoch K>80                      SHT    5328   51.7    +2.7   +0.01   4.01 **
A1    RSI>70                          SHT    1302   53.7    +4.7   +0.02   3.42 **
B11   TTM squeeze on                  LNG    4960   51.6    +2.3   +0.01   3.20 **
D6    ATR pctile<0.2 (calm)           LNG    5798   51.3    +2.0   +0.01   3.03 **
C12   Near 20d LOW                    LNG   14253   50.6    +1.2   +0.00   2.92 **
H2    London open 07-09               LNG    3455   51.6    +2.3   +0.01   2.70 **
A11   CCI>+100                        SHT    3559   51.1    +2.1   +0.01   2.55 *
D4s   NR7                             SHT    4918   50.7    +1.8   +0.00   2.48 *
A5    RSI2<10 (Connors)               LNG    7608   50.6    +1.3   -0.00   2.21 *
A10   Williams%R<-80                  LNG    5658   50.8    +1.5   -0.00   2.19 *
H3    NY open 13-15                   LNG    3452   51.2    +1.8   +0.00   2.17 *
A6    RSI2>90 (Connors)               SHT     641   52.7    +3.8   +0.02   1.92 
D1    ATR<20-med (compressed)         LNG   14104   50.0    +0.7   -0.00   1.65 
B1    Close>BB upper                  SHT    1704   50.9    +2.0   +0.02   1.65 
B8    z-score>+2 → short              SHT    1704   50.9    +2.0   +0.02   1.65 
A8    Stoch K<20                      LNG    4950   50.4    +1.1   -0.01   1.55 
D5s   Inside bar                      SHT    3295   50.3    +1.3   +0.00   1.54 
H4o   NY/London overlap 12-16         LNG    5752   50.3    +1.0   +0.00   1.53 
C19   Aroon down>70 & up<30           SHT    5457   49.9    +1.0   +0.01   1.41 
C11   Near 20d HIGH                   SHT   15315   49.4    +0.4   +0.00   1.00 
C13   MACD cross up                   LNG    1115   50.5    +1.2   +0.01   0.77 
S1    Near big-figure (x.xx00)        LNG    7570   49.7    +0.4   -0.00   0.62 
A12   CCI<-100                        LNG    3224   49.8    +0.4   -0.00   0.50 
B2r   Close<BB lower REV              SHT    1651   49.4    +0.5   +0.02   0.39 
P4    Bearish pin                     SHT    4483   49.2    +0.2   +0.00   0.29 
B5    BB squeeze (bw 20-low)          LNG    4092   49.4    +0.0   +0.00   0.06 
C18   Aroon up>70 & down<30           LNG    5752   49.4    +0.0   -0.00   0.03 
B2    Close<BB lower                  LNG    1651   49.3    -0.0   -0.02  -0.03 
B7    z-score<-2 → long               LNG    1651   49.3    -0.0   -0.02  -0.03 
C10   Donchian20 breakdown            SHT    1502   48.8    -0.1   +0.01  -0.11 
C27   ADX>25 & EMA20<50               SHT    6400   48.8    -0.2   +0.01  -0.29 
D2    ATR>1.5x med (expanding)        LNG    1245   48.9    -0.4   -0.00  -0.30 
C21   Supertrend bear                 SHT   13340   48.8    -0.1   +0.00  -0.30 
C20   Supertrend bull                 LNG   14017   49.2    -0.1   +0.00  -0.32 
C8    EMA20<EMA50                     SHT   13074   48.7    -0.2   +0.00  -0.56 
C29   ADX<20 & RSI>70 (range OB)      SHT      96   45.8    -3.1   +0.01  -0.61 
C28   ADX<20 & RSI<30 (range OS)      LNG      92   45.7    -3.7   -0.02  -0.71 
S1s   Near big-figure                 SHT    7570   48.5    -0.5   +0.00  -0.81 
C26   ADX>25 & EMA20>50               LNG    5932   48.8    -0.6   -0.00  -0.85 
P3    Bullish pin (tail≥2.5body)      LNG    4258   48.7    -0.7   -0.01  -0.89 
A2    RSI<30                          LNG    1651   48.2    -1.2   -0.03  -0.97 
B9    Close<Keltner low               LNG    3376   48.5    -0.9   -0.02  -0.99 
C7    EMA20>EMA50                     LNG   14282   48.9    -0.4   -0.00  -1.00 
C6    Close<EMA200                    SHT   13654   48.5    -0.5   +0.00  -1.06 
C5    Close>EMA200                    LNG   13702   48.8    -0.5   -0.00  -1.22 
B6    BB expanding (>20-med)          LNG   13036   48.8    -0.6   -0.00  -1.26 
P1    Bullish engulfing               LNG    2042   47.9    -1.4   -0.00  -1.31 
A4    RSI<35                          LNG    3312   48.2    -1.2   -0.02  -1.33 
C11r  Near 20d HIGH REV               LNG   15315   48.8    -0.6   -0.00  -1.36 
D5    Inside bar                      LNG    3295   48.1    -1.2   -0.00  -1.42 
D1s   ATR<20-med (compressed)         SHT   14104   48.3    -0.6   +0.00  -1.47 
B1r   Close>BB upper REV              LNG    1704   47.4    -2.0   -0.02  -1.64 
C4    Close<EMA50                     SHT   13150   48.2    -0.7   +0.00  -1.66 
C14   MACD cross down                 SHT    1115   46.3    -2.7   -0.00  -1.78 
C3    Close>EMA50                     LNG   14206   48.5    -0.8   -0.00  -1.92 
H2s   London open 07-09               SHT    3455   47.2    -1.8   -0.01  -2.08 *
C23   PSAR bear                       SHT   13323   48.0    -1.0   -0.00  -2.22 *
P2    Bearish engulfing               SHT    1914   46.4    -2.6   -0.00  -2.23 *
C22   PSAR bull                       LNG   14033   48.4    -1.0   -0.00  -2.28 *
H3s   NY open 13-15                   SHT    3452   47.0    -2.0   -0.00  -2.30 *
D6s   ATR pctile<0.2 (calm)           SHT    5798   47.3    -1.6   -0.01  -2.49 *
C2    Close<EMA20                     SHT   13192   47.8    -1.1   -0.00  -2.56 *
C25   ROC10<0                         SHT   13327   47.8    -1.1   -0.00  -2.62 **
C9    Donchian20 breakout UP          LNG    1514   46.0    -3.4   -0.02  -2.62 **
C24   ROC10>0                         LNG   13771   48.2    -1.1   -0.00  -2.65 **
C1    Close>EMA20                     LNG   14164   48.2    -1.1   -0.00  -2.72 **
C12r  Near 20d LOW REV                SHT   14253   47.7    -1.3   -0.00  -2.99 **
D4    NR7                             LNG    4918   46.9    -2.4   -0.00  -3.35 **
------------------------------------------------------------------------------
* |t|>2.0 (p<.05)   ** |t|>2.6 (p<.01)   N<30 INSUFF
