
==============================================================================
GBPJPY Signal Edge Scan — D1 fwd=5 — baseline LNG=56.7% / SHT=43.3% — bars=1159
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
C27   ADX>25 & EMA20<50               SHT    1305   44.3    -0.8   -0.05  -0.55 
C22   PSAR bull                       LNG    3727   54.3    -0.5   +0.05  -0.56 
C23   PSAR bear                       SHT    3111   44.5    -0.6   -0.01  -0.63 
H4o   NY/London overlap 12-16         LNG    1787   53.9    -0.8   +0.03  -0.69 
A10   Williams%R<-80                  LNG    1066   53.7    -1.1   -0.02  -0.72 
H2s   London open 07-09               SHT    1157   44.0    -1.1   -0.03  -0.72 
B2r   Close<BB lower REV              SHT     346   43.1    -2.0   -0.02  -0.74 
C7    EMA20>EMA50                     LNG    4248   54.1    -0.7   +0.02  -0.87 
C13   MACD cross up                   LNG     267   52.1    -2.7   +0.00  -0.89 
C8    EMA20<EMA50                     SHT    2590   44.1    -1.0   -0.05  -1.02 
C10   Donchian20 breakdown            SHT     292   41.8    -3.3   -0.05  -1.12 
H3s   NY open 13-15                   SHT     530   42.5    -2.6   -0.05  -1.20 
D5s   Inside bar                      SHT    1105   43.1    -2.0   -0.05  -1.32 
A5    RSI2<10 (Connors)               LNG    1740   53.2    -1.6   +0.01  -1.34 
D6s   ATR pctile<0.2 (calm)           SHT    1743   43.4    -1.6   -0.04  -1.36 
C3    Close>EMA50                     LNG    4164   53.7    -1.1   +0.02  -1.44 
C5    Close>EMA200                    LNG    4661   53.7    -1.1   +0.01  -1.45 
C1    Close>EMA20                     LNG    3988   53.5    -1.3   +0.02  -1.62 
P2    Bearish engulfing               SHT     469   41.2    -3.9   -0.07  -1.70 
C4    Close<EMA50                     SHT    2674   43.3    -1.7   -0.05  -1.77 
D2    ATR>1.5x med (expanding)        LNG     146   47.3    -7.5   -0.08  -1.82 
C2    Close<EMA20                     SHT    2850   43.3    -1.8   -0.05  -1.92 
C6    Close<EMA200                    SHT    2177   42.9    -2.1   -0.07  -2.01 *
C9    Donchian20 breakout UP          LNG     548   50.4    -4.4   +0.00  -2.07 *
C12r  Near 20d LOW REV                SHT    1053   41.9    -3.2   -0.02  -2.07 *
C11r  Near 20d HIGH REV               LNG    2175   52.6    -2.2   +0.02  -2.07 *
B6    BB expanding (>20-med)          LNG    3134   52.9    -1.9   +0.01  -2.09 *
C19   Aroon down>70 & up<30           SHT    1097   41.4    -3.7   -0.08  -2.44 *
C20   Supertrend bull                 LNG    3719   52.6    -2.1   +0.01  -2.62 **
C21   Supertrend bear                 SHT    3120   42.5    -2.6   -0.05  -2.90 **
B1r   Close>BB upper REV              LNG     391   46.3    -8.5   -0.07  -3.36 **
C26   ADX>25 & EMA20>50               LNG    1438   48.2    -6.6   -0.04  -5.00 **
------------------------------------------------------------------------------
* |t|>2.0 (p<.05)   ** |t|>2.6 (p<.01)   N<30 INSUFF

==============================================================================
GBPJPY Signal Edge Scan — H1 fwd=4 — baseline LNG=52.4% / SHT=46.8% — bars=27388
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
------------------------------------------------------------------------------
H4o   NY/London overlap 12-16         LNG    5760   55.2    +2.8   +0.02   4.20 **
H3    NY open 13-15                   LNG    3457   55.6    +3.2   +0.02   3.75 **
D5    Inside bar                      LNG    3771   54.6    +2.1   +0.01   2.62 **
A3    RSI>65                          SHT    3832   48.9    +2.1   +0.00   2.59 *
C12   Near 20d LOW                    LNG   11470   53.6    +1.2   +0.00   2.56 *
